CustomerID,ProductID,Predicted Rating,Name,UnitPrice
103416,619,2.294301608201416,Le Vian Chocolate Diamonds 1/4 ct tw Earrings 14K Honey Gold,1049.0
103416,411,2.2689015484291484,"Diamond Heart Necklace 1/10 ct tw Round-Cut 10K Yellow Gold 18""",299.99
103416,298,2.219154710514678,Heart Ring 1/5 ct tw Diamonds 10K Two-Tone Gold,479.0
103416,361,2.1602035176599355,Neil Lane Diamond Wedding Band 1/4 ct tw 14K White Gold,719.99
103416,536,2.401905453634012,"Disney Treasures Winnie the Pooh Mother of Pearl & Diamond Heart Necklace 1/8 ct tw Sterling Silver & 10K Two-Tone Gold 17""",449.99
103416,481,2.1603771232484643,Amethyst Heart Necklace Tanzanites & Diamonds 10K White Gold,599.99
103416,132,2.2687390644818506,Chân Váy B&Y,7.0
103416,41,2.168434891934904,Flower Girl Bracelet,360.0
103416,498,2.2836955169742716,Citrine & Diamond Necklace Sterling Silver,179.99
103416,155,2.3248916098604795,Túi mây hình thang,24.0
103416,447,2.2761628570565016,Diamond Star Necklace 1/2 ct tw Round-cut 10K Yellow Gold 20,779.99
103416,310,2.2439612523066303,Le Vian Diamond Ring 3/8 ct tw 14K Honey Gold,1299.99
103416,260,2.2904776095289616,Men's Diamond Band 1-1/2 ct tw Round-cut 10K White Gold,3999.99
103416,388,2.170202165485611,"Garnet MOM Heart Necklace Sterling Silver 18""",179.99
103416,547,2.208195341570824,Unstoppable Love Heart Necklace Sterling Silver,79.99
103416,52,2.299185452536857,BLACKPINK 2ND MINI ALBUM [KILL THIS LOVE],30.0
103416,468,2.261390733943935,"""Love"" Necklace 14K Yellow Gold 16"" to 18"" Adjustable",399.99
103416,266,2.105468461146559,Diamond Ring 1/10 ct tw Round-cut Sterling Silver,199.99
103416,120,2.2219121869963887,Quai vải,2.0
103416,634,2.2605458154350146,iPhone 13 Pro Max 128GB,1020.0
103416,62,2.13957504265419,Ống hút gạo OCHAO 500 Gram,3.0
